celltype,subtype,Leiden,Dotplot Groups,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Trophoblast,LaTP,32,D,Sprr2f,Muc4,Gm42418,Prap1,Tpbpa,Prxl2a,Prl8a9,Slc16a14,Prl7a2,C3,Lcn2,Alcam,Sparc,Igf2,Padi1,Lars2,Hbb-y,Col4a1,Acta2,AY036118,Fermt1,Lamb1,Myo3b,Cd24a,Creg1,Hnrnpab
Trophoblast,LaTP2,34,,Gm10800,Gm10801,Gm21738,Hba-a1,Hbb-y,Lars2,Afp,Hba-x,Meg3,H19,Peg3,Hbb-bs,Tmsb4x,Pappa2,Gm42418,Nrk,Ncl,Lgals3,Trf,Tfpi,Rpl13a,Peg10,Hnrnpu,Lama1,Rpl41,Ftl1
Trophoblast,P-TGC,14,D,Tfpi,H19,Prl7a1,Prl2c5,Krt8,Prl3b1,Krt18,Prl2c3,Peg10,Prl7d1,Ctsj,Nrk,Sct,Prl2a1,Prl2b1,Foxo4,Serpine1,Actg1,Actb,Tmsb4x,Tgm2,Rhox6,Eef1a1,Ftl1,Rpl23,Prl4a1
Trophoblast,S-TGC,29,C,C430049B03Rik,Ctsq,N4bp2,Dst,Fnd3c2,Las1l,Fn1,Map1b,Peg10,Brd3,Trrap,Caskin1,Bbx,Dsp,Peg3,Plec,Arhgef6,Ctsj,Exoc3l4,Wnk1,Git2,Rbm25,Sfmbt2,Rrbp1,Tut4,Gm47283
Trophoblast,SpA-TGC,2,D,Gm42418,Tpbpa,AY036118,Col4a1,Prap1,Prl7d1,Hba-a1,Sparc,Prl7a2,Tpbpb,Prl2b1,Cts3,Hbb-y,Prl3b1,Lama1,Creg1,Lars2,Prl8a9,Afp,Pappa2,Col4a2,mt-Co1,mt-Co2,Psg27,Ceacam14,Hbb-bs
Trophoblast,SpT,19,C,Peg3,C430049B03Rik,Flt1,Pappa2,Fn1,Gm26917,Dst,Rbm25,Tpbpb,Gm47283,Rbm39,Nsd3,Pabpn1,Noct,1700025G04Rik,Tpbpa,Srrm1,Cts3,Ankrd17,Ddb1,Nktr,Son,Taf7l,Maml3,Nrk,Srrm2
Trophoblast,SynTI,21,C,Caskin1,Tfrc,Peg3,Mycbp2,Macf1,Car4,Wnk3,Snap91,Slc38a1,Tacc2,Las1l,Kmt2c,Helz,Ahnak,4932438A13Rik,Bbx,Gm26917,Tulp1,Amot,Slco4a1,Plxnb1,Slc5a3,Peg10,Eif4g1,Polg,Ap2a2
Trophoblast,SynTII,18,C,Slc13a4,Gcgr,Gjb2,Apela,Slc4a2,Wfdc2,Slc16a3,Car4,Maged1,Tmem150a,Plekha7,Fabp3,Abcb1b,Zfhx3,Helz,Slc2a1,Slc40a1,Arhgef6,Slc1a5,Bcorl1,Vegfa,Bsg,H19,Gcm1,Peg3,Synb
Trophoblast,TrophProgen,0,D,Gm42418,AY036118,Tpbpa,Igf2,Afp,Col4a1,Prl8a9,Lars2,Col4a2,Peg10,Hbb-y,Lama1,H19,Sparc,Apob,Apoa1,Gzme,Trap1a,Nid1,mt-Nd6,Gzmc,Trf,1600012P17Rik,Spp2,Prl7a2,Psg21
Trophoblast,TrophProgen,4,D,Gm42418,Prap1,AY036118,C3,Tpbpa,Guca2b,Tgfb2,Afp,Prl8a9,Col4a1,Csf1,Prl7a2,Sparc,Lars2,Igf2,Cts3,Cuzd1,Aqp8,Nrk,Col4a2,Prl2b1,Lama1,Creg1,mt-Co1,Spp1,Ctsq
